comment1,comment2,No.,Ticker,MarketCap,P/E,FwdP/E,PEG,P/S,P/B,P/C,P/FCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
bad business,relying on affiliate,128,NC,218.25M,6.27,-,-,1.32,0.64,2.49,8.05,-62.90%,-,45.30%,-,-2.80%,30.44,-0.52%,"7,479"
watch,adj bv 110,129,HURC,215.16M,32.25,-,-,0.91,0.9,2.56,7.91,209.20%,-,-12.60%,-,0.70%,32.6,-0.64%,"7,047"
watch,adj bv 70,130,TREC,211.38M,-,-,-,0.83,1.06,4.76,105.69,137.50%,-,-23.30%,17.50%,-2.90%,8.76,-0.34%,"7,218"
1,,131,SRT,202.42M,-,14.41,-,0.29,1.04,3.56,54.71,-151.00%,780.00%,0.30%,5.00%,17.80%,4.9,0.41%,"20,025"
1,,133,SPOK,193.36M,-,-,-,1.33,1.0,2.86,193.36,-312.10%,-,-21.30%,-,-4.80%,9.83,-0.10%,"38,683"
1,,135,ASXC,187.73M,-,-,-,27.21,0.95,1.59,-,90.20%,0.00%,35.60%,-,-,0.74,-5.23%,"2,292,048"
1,,136,MTRX,173.30M,-,10.85,-,0.27,0.71,2.67,247.57,-10.90%,186.50%,-26.90%,10.00%,-12.50%,6.51,2.84%,"236,219"
2,and 1,137,BSET,163.02M,9.03,6.84,0.56,0.34,0.99,3.13,-,275.30%,26.70%,4.70%,16.00%,2.40%,16.55,-3.22%,"57,153"
1,,138,IMMR,162.48M,7.49,6.76,0.5,4.48,1.19,1.37,11.95,129.80%,14.52%,14.00%,15.00%,-13.60%,4.8,-0.62%,"399,216"
1,,140,LAKE,156.06M,8.87,9.8,0.44,1.21,1.2,2.81,6.42,956.30%,23.75%,32.10%,20.00%,9.80%,19.41,0.26%,"24,501"
1,,141,EMKR,155.43M,5.9,10.13,0.39,0.93,1.04,2.08,16.54,398.20%,54.15%,48.60%,15.00%,11.50%,3.95,2.46%,"928,887"
1,,142,GENC,153.55M,26.62,-,-,1.8,0.89,1.3,6.76,4.90%,-,-4.10%,-,4.00%,10.46,-3.06%,"37,277"
1,,144,GAU,151.18M,4.1,8.33,-,-,0.73,2.71,-,134.30%,-17.14%,51.50%,-,-,0.73,1.43%,"455,906"
1,,145,SRL,150.15M,18.17,-,-,2.52,0.56,2.51,-,102.00%,-,14.90%,-,-48.40%,10.05,-2.14%,"27,880"
watch,adj bv 125,146,CWCO,148.44M,71.09,16.37,8.89,2.27,0.94,3.46,29.11,-21.40%,357.69%,2.20%,8.00%,4.90%,9.74,-0.61%,"44,326"
